
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                  
-------  ------    -----      -----     ------     --  -- -----------                                                  
    152      10     2740       9064       0.20   7752   0 AggregatorHost                                               
   1016      69   438736     112692      48.27   4260   0 ASDSvc                                                       
    326      12     7552      17480       0.25   9880   0 audiodg                                                      
    470      35    16540      52856       1.31   9052   2 backgroundTaskHost                                           
    335      28    18164      50284       0.30  15040   2 backgroundTaskHost                                           
     89       7     4668       7024       0.11  13804   2 cmd                                                          
     98       8     1280       7408       0.02  14032   2 conhost                                                      
     98       8     1296       7424       0.00  14084   2 conhost                                                      
    148      10     1624      10236       0.03  18040   2 conhost                                                      
    551      31    45512      64068       0.33  13344   2 CrossDeviceResume                                            
    721      60    20824      80460       1.33   2504   2 CrossDeviceService                                           
    746      30     3164       6512       1.41   1240   0 csrss                                                        
    592      26     3476       8192       0.75  14204   2 csrss                                                        
    513      24    32424      60480       0.31   9756   2 ctfmon                                                       
    744      39   210848     128836       2.27   6356   2 Discord                                                      
   1025      96   350072     440616       5.95   7576   2 Discord                                                      
    378      24    17192      61296       0.48  10136   2 Discord                                                      
    199      13    10812      37472       0.02  12724   2 Discord                                                      
    305      17    11896      91320       0.31  12904   2 Discord                                                      
   1047      48   121612     159836       2.09  13996   2 Discord                                                      
    252      24     5440      18428       0.03  13484   2 dllhost                                                      
   1533      63   313796      95600       3.47  12436   2 dwm                                                          
   4910     140   246384     326968       8.33  18064   2 explorer                                                     
     42       7     2256       3716       0.02   1668   0 fontdrvhost                                                  
     42       9     4444      11984       0.64   4664   2 fontdrvhost                                                  
    564      31    15832      21584       1.69   4112   0 HncUpdateService                                             
    387      27    35672      37748       0.25   8956   2 HncUpdateTray                                                
      0       0       60          8                 0   0 Idle                                                         
    144       9     1436       5316       0.00   4172   0 jhi_service                                                  
    520      27   128068     178772      10.86   9372   2 KakaoTalk                                                    
   1568      28     8624      25676       3.88   1436   0 lsass                                                        
      0       0      484      45552       1.95   2808   0 Memory Compression                                           
    305      19     6496      34572       0.67  12912   0 MoUsoCoreWorker                                              
    349      15     9752      13552       0.31   4220   0 MpDefenderCoreService                                        
    159      11     8292      19512       0.09   1936   2 msedge                                                       
    143      11     2448       9984       0.06  13252   2 msedge                                                       
    461      25    49772      45360       0.42  15564   2 msedge                                                       
   1314      53    41308     127380       2.73  15752   2 msedge                                                       
    345      22    12472      39064       0.34  15920   2 msedge                                                       
   1059      46    38792     112908       0.81   3788   2 msedgewebview2                                               
    346      23    12392      39832       0.13   7836   2 msedgewebview2                                               
    657      36    55800      66312       0.23   8368   2 msedgewebview2                                               
    162      11     8732      20724       0.05  11048   2 msedgewebview2                                               
    149      11     2408      10028       0.02  15412   2 msedgewebview2                                               
   1222      56    40540     122072       1.06  15640   2 msedgewebview2                                               
    375      27    75864     123328       0.44  16864   2 msedgewebview2                                               
